ID,Name,Classification,Synonyms,Level,Description,CAS Number,PubChem ID,ChEBI ID,FooDB ID,HMDB ID,SMILES,Formula,InChI,InChIKey,Average mass,Mono. mass,No. of Microbiota associations,No. of Experimental evidences,Reduced by antibiotics (No. of Publications),Reduced in germ-free animals (No. of Publications),Produced by human faecal bacteria (No. of Publications)
1834,Taurocholic acid,"Trihydroxy bile acids, alcohols and derivatives",Taurocholate; Cholaic acid; Cholyltaurine,Single,Taurine conjugate of cholic acid.,81-24-3,6675,28865,FDB012335,HMDB0000036,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O,C26H45NO7S,"InChI=1S/C26H45NO7S/c1-15(4-7-23(31)27-10-11-35(32,33)34)18-5-6-19-24-20(14-22(30)26(18,19)3)25(2)9-8-17(28)12-16(25)13-21(24)29/h15-22,24,28-30H,4-14H2,1-3H3,(H,27,31)(H,32,33,34)/t15-,16+,17-,18-,19+,20+,21-,22+,24+,25+,26-/m1/s1",WBWWGRHZICKQGZ-HZAMXZRMSA-N,515.703,515.291673489,1,1,1,0,0
1835,Glycocholic acid,Glycinated bile acids and derivatives,"N-(3alpha,7alpha,12alpha-Trihydroxy-5beta-cholanoyl)-glycine; Glycocholate; Cholylglycine",Single,Glycine conjugate of cholic acid.,475-31-0,10140,17687,FDB012346,HMDB0000138,C[C@H](CCC(O)=NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,C26H43NO6,"InChI=1S/C26H43NO6/c1-14(4-7-22(31)27-13-23(32)33)17-5-6-18-24-19(12-21(30)26(17,18)3)25(2)9-8-16(28)10-15(25)11-20(24)29/h14-21,24,28-30H,4-13H2,1-3H3,(H,27,31)(H,32,33)/t14-,15+,16-,17-,18+,19+,20-,21+,24+,25+,26-/m1/s1",RFDAIACWWDREDC-FRVQLJSFSA-N,465.6227,465.309038113,1,1,0,1,0
1836,Taurochenodeoxycholic acid,Taurinated bile acids and derivatives,TCDCA; Taurochenodeoxycholate; Chenyltaurine; Chenodeoxycholyltaurine; Desoxycholyltaurine; Taurochenoxycholate?; Taurochenoxycholic acid?,Single,Taurine conjugate of chenodeoxycholic acid.,516-35-8,387316,16525,FDB022335,HMDB0000951,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O,C26H45NO6S,"InChI=1S/C26H45NO6S/c1-16(4-7-23(30)27-12-13-34(31,32)33)19-5-6-20-24-21(9-11-26(19,20)3)25(2)10-8-18(28)14-17(25)15-22(24)29/h16-22,24,28-29H,4-15H2,1-3H3,(H,27,30)(H,31,32,33)/t16-,17+,18-,19-,20+,21+,22-,24+,25+,26-/m1/s1",BHTRKEVKTKCXOH-BJLOMENOSA-N,499.704,499.296758867,1,1,0,1,0
1837,Glycochenodeoxycholic acid,Glycinated bile acids and derivatives,Glycochenodeoxycholate; Chenodeoxycholylglycine; Glycine chenodeoxycholate,Single,Glycine conjugate of chenodeoxycholic acid.,640-79-9,12544,36274,FDB022157,HMDB0000637,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCC(O)=O,C26H43NO5,"InChI=1S/C26H43NO5/c1-15(4-7-22(30)27-14-23(31)32)18-5-6-19-24-20(9-11-26(18,19)3)25(2)10-8-17(28)12-16(25)13-21(24)29/h15-21,24,28-29H,4-14H2,1-3H3,(H,27,30)(H,31,32)/t15-,16+,17-,18-,19+,20+,21-,24+,25+,26-/m1/s1",GHCZAUBVMUEKKP-GYPHWSFCSA-N,449.6233,449.314123491,1,1,0,1,0
1839,tauro-beta-Muricholic acid,Taurinated bile acids and derivatives,"N-(3alpha,6beta,7beta-Trihydroxy-5beta-cholanoyl)-taurine; tauro-beta-Muricholate; beta-Tauromuricholic acid",Single,Taurine conjugate of beta-muricholic acid.,25696-60-0,21124703,133057,FDB022322,HMDB0000932,C[C@H](CCC(=O)NCCS(O)(=O)=O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)[C@@H](O)[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,C26H45NO7S,"InChI=1S/C26H45NO7S/c1-15(4-7-21(29)27-12-13-35(32,33)34)17-5-6-18-22-19(9-11-25(17,18)2)26(3)10-8-16(28)14-20(26)23(30)24(22)31/h15-20,22-24,28,30-31H,4-14H2,1-3H3,(H,27,29)(H,32,33,34)/t15-,16-,17-,18+,19+,20+,22+,23+,24-,25-,26-/m1/s1",XSOLDPYUICCHJX-UZUDEGBHSA-N,515.71,515.291673967,1,1,1,0,0
1840,Lithocholic acid,"Monohydroxy bile acids, alcohols and derivatives",3alpha-Hydroxy-5beta-cholanoic acid; Lithocholate; LCA,Single,"Microbial metabolite identified in gut (table 1 from Donia 2015). Secondary bile acid derived from chenodeoxycholic acid (CDCA) by gut bacteria. Toxic to human cells (hepatotoxicity, colon cancer).",434-13-9,9903,16325,FDB022230,HMDB0000761,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O,C24H40O3,"InChI=1S/C24H40O3/c1-15(4-9-22(26)27)19-7-8-20-18-6-5-16-14-17(25)10-12-23(16,2)21(18)11-13-24(19,20)3/h15-21,25H,4-14H2,1-3H3,(H,26,27)/t15-,16-,17-,18+,19-,20+,21+,23+,24-/m1/s1",SMEROWZSTRWXGI-HVATVPOCSA-N,376.5726,376.297745146,8,3,1,1,4
1841,Ursodeoxycholic acid,"Dihydroxy bile acids, alcohols and derivatives","3alpha,7beta-Dihydroxy-5beta-cholanoic acid; Ursodiol; UDCA",Single,Secondary bile acid. Isomerisation product of chenodeoxycholic acid.,128-13-2,31401,9907,FDB022332,HMDB0000946,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O,C24H40O4,"InChI=1S/C24H40O4/c1-14(4-7-21(27)28)17-5-6-18-22-19(9-11-24(17,18)3)23(2)10-8-16(25)12-15(23)13-20(22)26/h14-20,22,25-26H,4-13H2,1-3H3,(H,27,28)/t14-,15+,16-,17-,18+,19+,20+,22+,23+,24-/m1/s1",RUDATBOHQWOJDD-UZVSRGJWSA-N,392.572,392.292659768,2,1,0,0,2
1842,Hyodeoxycholic acid,"Dihydroxy bile acids, alcohols and derivatives","3alpha,6alpha-Dihydroxy-5beta-cholanoic acid; 6alpha-Hydroxylithocholate; 7-Deoxyhyocholic acid; Hyodesoxycholic acid; Hyodeoxycholate; HDCA",Single,,83-49-8,5283820,52023,FDB022211,HMDB0000733,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](O)[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,C24H40O4,"InChI=1S/C24H40O4/c1-14(4-7-22(27)28)17-5-6-18-16-13-21(26)20-12-15(25)8-10-24(20,3)19(16)9-11-23(17,18)2/h14-21,25-26H,4-13H2,1-3H3,(H,27,28)/t14-,15-,16+,17-,18+,19+,20+,21+,23-,24-/m1/s1",DGABKXLVXPYZII-SIBKNCMHSA-N,392.58,392.292659768,2,2,1,1,0
1843,Glycodeoxycholic acid,Glycinated bile acids and derivatives,GDCA; Glycodeoxycholate; Glycodeoxylcholate?; Deoxycholylglycine,Single,Glycine conjugate of deoxycholic acid.,360-65-6,22833539,27471,FDB022152,HMDB0000631,[H][C@]12CCC3C4CC[C@H]([C@H](C)CCC(=O)NCC(O)=O)[C@@]4(C)[C@@H](O)CC3[C@@]1(C)CC[C@@H](O)C2,C26H43NO5,"InChI=1S/C26H43NO5/c1-15(4-9-23(30)27-14-24(31)32)19-7-8-20-18-6-5-16-12-17(28)10-11-25(16,2)21(18)13-22(29)26(19,20)3/h15-22,28-29H,4-14H2,1-3H3,(H,27,30)(H,31,32)/t15-,16-,17-,18?,19-,20?,21?,22+,25+,26-/m1/s1",WVULKSPCQVQLCU-ZMBDPXIHSA-N,449.6233,449.314123491,1,1,0,1,0
1846,2-Hydroxyhippuric acid,Hippuric acids,o-Hydroxyhippuric acid; Salicyluric acid; N-(2-Hydroxybenzoyl)glycine; 2-Hydroxybenzamidoacetic acid,Single,,487-54-7,10253,9008,FDB010505,HMDB0000840,OC(=O)CNC(=O)C1=C(O)C=CC=C1,C9H9NO4,"InChI=1S/C9H9NO4/c11-7-4-2-1-3-6(7)9(14)10-5-8(12)13/h1-4,11H,5H2,(H,10,14)(H,12,13)",ONJSZLXSECQROL-UHFFFAOYSA-N,195.1721,195.053157781,1,1,0,0,1
1848,3-Hydroxybenzoic acid,Hydroxybenzoic acid derivatives,m-Hydroxybenzoic acid; m-Salicylic acid; 3-Carboxyphenol,Single,,99-06-9,7420,30764,FDB010507,HMDB0002466,OC(=O)C1=CC(O)=CC=C1,C7H6O3,"InChI=1S/C7H6O3/c8-6-3-1-2-5(4-6)7(9)10/h1-4,8H,(H,9,10)",IJFXRHURBJZNAO-UHFFFAOYSA-N,138.122,138.031694053,3,1,0,0,2
1849,4-Hydroxybenzoic acid,Hydroxybenzoic acid derivatives,p-Hydroxybenzoic acid; p-Salicylic acid; 4-Carboxyphenol,Single,,99-96-7,135,30763,FDB010508,HMDB0000500,OC(=O)C1=CC=C(O)C=C1,C7H6O3,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)",FJKROLUGYXJWQN-UHFFFAOYSA-N,138.122,138.031694053,5,1,0,0,4
1851,4-Hydroxyphenylpropionic acid,Phenylpropanoic acids,4-Hydroxyphenylpropionate; Phloretic acid; 3-(4-Hydroxyphenyl)propanoic acid; 3-(p-Hydroxyphenyl)propionic acid; Dihydro-p-coumaric acid; p-Hydroxyhydrocinnamic acid; Desaminotyrosine,Single,,501-97-3,10394,32980,FDB000849,HMDB0002199,OC(=O)CCC1=CC=C(O)C=C1,C9H10O3,"InChI=1S/C9H10O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-2,4-5,10H,3,6H2,(H,11,12)",NMHMNPHRMNGLLB-UHFFFAOYSA-N,166.1739,166.062994186,31,3,1,3,13
1853,p-Cresol,Para cresols,4-Methylphenol; 4-Cresol; 4-Hydroxytoluene; 1-Hydroxy-4-methylbenzene,Single,Microbial metabolite identified in gut (table 1 from Donia 2015).,106-44-5,2879,17847,FDB008789,HMDB0001858,CC1=CC=C(O)C=C1,C7H8O,"InChI=1S/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3",IWDCLRJOBJJRNH-UHFFFAOYSA-N,108.1378,108.057514878,17,3,2,1,6
1854,Tyrosine,Tyrosine and derivatives,L-Tyrosine; (S)-Tyrosine; (-)-alpha-Amino-p-hydroxyhydrocinnamic acid; (S)-alpha-Amino-4-hydroxybenzenepropanoic acid,Single,,60-18-4,6057,17895,FDB000446,HMDB0000158,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,C9H11NO3,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1",OUYCCCASQSFEME-QMMMGPOBSA-N,181.1885,181.073893223,7,2,5,0,1
1855,Phenylalanine,Phenylalanine and derivatives,L-Phenylalanine; (S)-2-Amino-3-phenylpropanoic acid,Single,,63-91-2,6140,17295,FDB004940,HMDB0000159,N[C@@H](CC1=CC=CC=C1)C(O)=O,C9H11NO2,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",COLNVLDHVKWLRT-QMMMGPOBSA-N,165.1891,165.078978601,5,2,4,0,1
1857,p-Cresol sulfate,Phenylsulfates,4-Cresyl sulfate; p-Tolyl sulfate,Single,,3233-58-7,4615423,82914,FDB028333,HMDB0011635,CC1=CC=C(OS(O)(=O)=O)C=C1,C7H8O4S,"InChI=1S/C7H8O4S/c1-6-2-4-7(5-3-6)11-12(8,9)10/h2-5H,1H3,(H,8,9,10)",WGNAKZGUSRVWRH-UHFFFAOYSA-N,188.201,188.014329434,2,2,1,1,0
1858,p-Cresol glucuronide,Phenolic glycosides,4-Cresyl glucuronide; p-Cresyl-beta-D-glucuronide; p-Tolyl glucuronide,Single,,17680-99-8,154035,87986,FDB028373,HMDB0011686,CC1=CC=C(O[C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)C=C1,C13H16O7,"InChI=1S/C13H16O7/c1-6-2-4-7(5-3-6)19-13-10(16)8(14)9(15)11(20-13)12(17)18/h2-5,8-11,13-16H,1H3,(H,17,18)/t8-,9-,10+,11-,13+/m0/s1",JPAUCQAJHLSMQW-XPORZQOISA-N,284.2619,284.089602866,1,1,1,0,0
1860,"3,4-Dihydroxyphenylacetic acid",Catechols,"3,4-Dihydroxyphenylacetate; DOPAC; 3,4-Dihydroxybenzeneacetic acid",Single,"3,4-Dihydroxyphenylacetic acid is a metabolite of the neurotransmitter dopamine (Wikipedia).",102-32-9,547,41941,FDB000316,HMDB0001336,OC(=O)CC1=CC(O)=C(O)C=C1,C8H8O4,"InChI=1S/C8H8O4/c9-6-2-1-5(3-7(6)10)4-8(11)12/h1-3,9-10H,4H2,(H,11,12)",CFFZDZCDUFSOFZ-UHFFFAOYSA-N,168.1467,168.042258744,21,3,1,1,10
1861,Phenylacetylglycine,N-acyl-alpha amino acids,N-Phenylacetylglycine; Phenaceturic acid,Single,,500-98-1,68144,27480,FDB022266,HMDB0000821,OC(=O)CNC(=O)CC1=CC=CC=C1,C10H11NO3,"InChI=1S/C10H11NO3/c12-9(11-7-10(13)14)6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H,11,12)(H,13,14)",UTYVDVLMYQPLQB-UHFFFAOYSA-N,193.1992,193.073893223,8,2,4,4,0
1862,Phenylacetic acid,Benzene and substituted derivatives,Phenylacetate; 2-Phenylacetic acid; Benzenacetic acid; alpha-Toluic acid,Single,Microbial gut metabolite derived from amino acids (Donia 2015).,103-82-2,999,30745,FDB031100,HMDB0000209,OC(=O)CC1=CC=CC=C1,C8H8O2,"InChI=1S/C8H8O2/c9-8(10)6-7-4-2-1-3-5-7/h1-5H,6H2,(H,9,10)",WLJVXDMOQOGPHL-UHFFFAOYSA-N,136.1479,136.0524295,32,3,1,1,11
1864,Phenylpropionylglycine,N-acyl-alpha amino acids,3-Phenylpropionylglycine; N-(3-Phenyl-propionyl)-glycine; FDB022813; HMDB02042,Single,,20989-69-9,152323,88550,FDB022286,HMDB0000860,OC(=O)CNC(=O)CCC1=CC=CC=C1,C11H13NO3,"InChI=1S/C11H13NO3/c13-10(12-8-11(14)15)7-6-9-4-2-1-3-5-9/h1-5H,6-8H2,(H,12,13)(H,14,15)",YEIQSAXUPKPPBN-UHFFFAOYSA-N,207.2258,207.089543287,1,1,0,1,0
1866,Indoleacetic acid,Indole-3-acetic acid derivatives,Indoleacetate; 1H-Indole-3-acetic acid; beta-Indoleacetic acid; 3-Indoleacetic acid; Indole-3-acetic acid; IAA; 3-IAA,Single,"Metabolite of tryptophan, produced by bacteria (Fig 2, pmid:29902437). Gut microbiota metabolite of tryptophan (Fig 1, pmid:30120222).",87-51-4,802,16411,FDB030920,HMDB0000197,OC(=O)CC1=CNC2=C1C=CC=C2,C10H9NO2,"InChI=1S/C10H9NO2/c12-10(13)5-7-6-11-9-4-2-1-3-8(7)9/h1-4,6,11H,5H2,(H,12,13)",SEOVTRFCIGRIMH-UHFFFAOYSA-N,175.184,175.063328537,20,3,2,1,5
1868,Indole,Indoles,"1H-Indole; 2,3-Benzopyrole",Single,"Microbial metabolite identified in gut (table 1 from Donia 2015). Metabolite of tryptophan, produced by bacteria (Fig 2, pmid:29902437). Gut microbiota metabolite of tryptophan (Fig 1, pmid:30120222). Prominent metabolite of tryptophan.",120-72-9,798,16881,FDB012008,HMDB0000738,N1C=CC2=C1C=CC=C2,C8H7N,"InChI=1S/C8H7N/c1-2-4-8-7(3-1)5-6-9-8/h1-6,9H",SIKJAQJRHWYJAI-UHFFFAOYSA-N,117.1479,117.057849229,11,2,0,1,6
1869,Indoxyl sulfate,Arylsulfates,3-Indoxyl sulfate; 3-Indoxylsulfuric acid; Indican,Single,Microbial metabolite of indole found in human urine (Donia 2015). A well-known uremic toxin.,487-94-5,10258,43355,FDB022179,HMDB0000682,OS(=O)(=O)OC1=CNC2=CC=CC=C12,C8H7NO4S,"InChI=1S/C8H7NO4S/c10-14(11,12)13-8-5-9-7-4-2-1-3-6(7)8/h1-5,9H,(H,10,11,12)",BXFFHSIDQOFMLE-UHFFFAOYSA-N,213.21,213.009578407,7,2,5,1,0
1873,Serotonin,Serotonins,5-Hydroxytryptamine; 5-HT; 5-Hydroxy-3-(beta-aminoethyl)indole; 3-(2-Aminoethyl)-1H-indol-5-ol,Single,"Metabolite of tryptophan, produced by host (Fig 2, pmid:29902437). Released from the gut by possible action of bacteria (pmid:28683093). Neurotransmitter found mainly in the intestine and in the CNS. Produced by gut bacteria (pmid:29903615).",50-67-9,5202,28790,FDB012158,HMDB0000259,NCCC1=CNC2=C1C=C(O)C=C2,C10H12N2O,"InChI=1S/C10H12N2O/c11-4-3-7-6-12-10-2-1-8(13)5-9(7)10/h1-2,5-6,12-13H,3-4,11H2",QZAYGJVTTNCVMB-UHFFFAOYSA-N,176.2151,176.094963016,3,1,0,2,0
1874,5-Hydroxyindole,Hydroxyindoles,Hydroxyindole; 5-Hydroxy-1H-indole,Single,,1953-54-4,16054,89649,,HMDB0059805,OC1=CC2=C(NC=C2)C=C1,C8H7NO,"InChI=1S/C8H7NO/c10-7-1-2-8-6(5-7)3-4-9-8/h1-5,9-10H",LMIQERWZRIFWNZ-UHFFFAOYSA-N,133.1473,133.052763851,2,1,0,2,0
1876,Pyridoxine,Pyridoxines,"3-Hydroxy-4,5-dimethylol-alpha-picoline; 2-Methyl-3-hydroxy-4,5-dihydroxymethylpyridine",Single,"Pyridoxine, also known as vitamin B6, is a form of vitamin B6 found commonly in food and used as dietary supplement.",65-23-6,1054,16709,FDB000574,HMDB0000239,CC1=C(O)C(CO)=C(CO)C=N1,C8H11NO3,"InChI=1S/C8H11NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,10-12H,3-4H2,1H3",LXNHXLLTXMVWPM-UHFFFAOYSA-N,169.1778,169.073893223,1,1,0,1,0
1877,Putrescine,Monoalkylamines,"1,4-Diaminobutane; 1,4-Tetramethylenediamine; 1,4-Butanediamine; Butylenediamine; Tetramethyldiamine",Single,,110-60-1,1045,17148,FDB001494,HMDB0001414,NCCCCN,C4H12N2,InChI=1S/C4H12N2/c5-3-1-2-4-6/h1-6H2,KIDHWZJUCRJVML-UHFFFAOYSA-N,88.1515,88.100048394,21,3,1,1,5
1878,Cadaverine,Monoalkylamines,"1,5-Diaminopentane; 1,5-Pentamethylenediamine; 1,5-Pentanediamine; Pentamethylenediamine",Single,Decarboxylation product of lysine (pmid:6524522).,462-94-2,273,18127,FDB001493,HMDB0002322,NCCCCCN,C5H14N2,InChI=1S/C5H14N2/c6-4-2-1-3-5-7/h1-7H2,VHRGRCVQAFMJIZ-UHFFFAOYSA-N,102.1781,102.115698458,13,3,1,2,4
1879,Spermidine,Dialkylamines,"1,5,10-Triazadecane; N-(3-Aminopropyl)-1,4-butane-diamine",Single,,124-20-9,1102,16610,FDB012039,HMDB0001257,NCCCCNCCCN,C7H19N3,"InChI=1S/C7H19N3/c8-4-1-2-6-10-7-3-5-9/h10H,1-9H2",ATHGHQPFGPMSJY-UHFFFAOYSA-N,145.2459,145.157897623,23,3,1,2,2
1880,Spermine,Dialkylamines,"Musculamine; Neuridine; Gerontine; Diaminopropyltetramethylenediamine; 1,4-Bis(aminopropyl) butanediamine; N,N'-Bis(3-aminopropyl)-1,4-butanediamine; 4,9-Diazadodecane-1,12-diamine",Single,,71-44-3,1103,15746,FDB003225,HMDB0001256,NCCCNCCCCNCCCN,C10H26N4,"InChI=1S/C10H26N4/c11-5-3-9-13-7-1-2-8-14-10-4-6-12/h13-14H,1-12H2",PFNFFQXMRSDOHW-UHFFFAOYSA-N,202.3402,202.215746852,23,1,0,0,1
1888,D-Lactic acid,Alpha hydroxy acids and derivatives,D-Lactate; (-)-Lactic acid; (R)-Lactic acid; (R)-2-Hydroxypropanoic acid,Single,Major end-product of bacterial metabolism in the large bowel (Cummings 1997). D-Lactic acid is the D-isomer of lactic acid. L-Lactic acid is the most common of the two isomers in living organisms.,10326-41-7,61503,42111,FDB003293,HMDB0001311,C[C@@H](O)C(O)=O,C3H6O3,"InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)/t2-/m1/s1",JVTAAEKCZFNVCJ-UWTATZPHSA-N,90.0779,90.031694058,11,1,0,0,2
1890,Succinic acid,Dicarboxylic acids and derivatives,"Succinate; Butanedioic acid; Butanedioate; Dihydrofumaric acid; 1,4-Butanedioic acid; 1,2-Ethanedicarboxylic acid",Single,Major end-product of bacterial metabolism in the large bowel (Cummings 1997). Intermediate in the Krebs cycle.,110-15-6,1110,15741,FDB001931,HMDB0000254,OC(=O)CCC(O)=O,C4H6O4,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)",KDYFGRWQOYBRFD-UHFFFAOYSA-N,118.088,118.02660868,14,3,3,2,5
1891,Glucose,Hexoses,D-Glucose; D-Glucopyranose,Single,,2280-44-6,5793,4167,FDB012530,HMDB0000122,[H]C1(O)O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])O,C6H12O6,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1",WQZGKKKJIJFFOK-GASJEMHNSA-N,180.1559,180.063388116,5,2,3,1,0
1896,Methylamine,Monoalkylamines,MMA; Monomethylamine; Methanamine; Aminomethane,Single,,74-89-5,6329,16830,FDB003958,HMDB0000164,CN,CH5N,"InChI=1S/CH5N/c1-2/h2H2,1H3",BAVYZALUXZFZLV-UHFFFAOYSA-N,31.0571,31.042199165,9,2,0,1,3
1897,Dimethylamine,Dialkylamines,"DMA; N,N-Dimethylamine; N-Methylmethanamine",Single,"Formed from trimethylamine, break-down product of dietary choline (pmid:4091797). Major short-chain aliphatic amine in human and rat urine (pmid:4091797).",124-40-3,674,17170,FDB012589,HMDB0000087,CNC,C2H7N,"InChI=1S/C2H7N/c1-3-2/h3H,1-2H3",ROSDSFDQCJNGOL-UHFFFAOYSA-N,45.0837,45.057849229,16,2,1,0,4
1898,Trimethylamine,Trialkylamines,"TMA; N-Trimethylamine; N,N,N-Trimethylamine; N,N-Dimethylmethanamine",Single,"Produced from carnitine, choline, or choline-containing compounds (pmid:28715991). Precursor of TMAO (pmid:28715991).",75-50-3,1146,18139,FDB011944,HMDB0000906,CN(C)C,C3H9N,InChI=1S/C3H9N/c1-4(2)3/h1-3H3,GETQZCLCWQTVFV-UHFFFAOYSA-N,59.1103,59.073499293,17,3,4,4,5
1899,Dimethylglycine,Alpha amino acids,"N,N-Dimethylglycine; N,N-Dimethylaminoacetic acid; 2-(Dimethylamino)acetic acid; N-Methylsarcosine",Single,A byproduct of the metabolism of choline.,1118-68-9,673,17724,FDB021893,HMDB0000092,CN(C)CC(O)=O,C4H9NO2,"InChI=1S/C4H9NO2/c1-5(2)3-4(6)7/h3H2,1-2H3,(H,6,7)",FFDGPVCHZBVARC-UHFFFAOYSA-N,103.1198,103.063328537,1,1,0,1,0
1912,Tryptamine,Tryptamines and derivatives,1H-Indole-3-ethanamine,Single,"Microbial metabolite identified in gut (table 1 from Donia 2015). Metabolite of tryptophan, produced by bacteria (Fig 2, pmid:29902437). Gut microbiota metabolite of tryptophan (Fig 1, pmid:30120222). Can act as a biogenic amine neurotransmitter.",61-54-1,1150,16765,FDB000917,HMDB0000303,NCCC1=CNC2=C1C=CC=C2,C10H12N2,"InChI=1S/C10H12N2/c11-6-5-8-7-12-10-4-2-1-3-9(8)10/h1-4,7,12H,5-6,11H2",APJYDQYYACXCRM-UHFFFAOYSA-N,160.2157,160.100048394,7,2,0,2,3
1913,Skatole,3-methylindoles,"3-Methylindole; beta-Methylindole; 3-Methyl-4,5-benzopyrrole; 3-Methyl-1H-indole",Single,"Microbial metabolite identified in gut (table 1 from Donia 2015). Gut microbiota metabolite of tryptophan (Fig 1, pmid:30120222).",83-34-1,6736,9171,FDB004302,HMDB0000466,CC1=CNC2=CC=CC=C12,C9H9N,"InChI=1S/C9H9N/c1-7-6-10-9-5-3-2-4-8(7)9/h2-6,10H,1H3",ZFRKQXVRDFCRJG-UHFFFAOYSA-N,131.1745,131.073499293,1,1,0,0,1
1914,Phenyllactic acid,Phenylpropanoic acids,2-Hydroxy-3-phenylpropanoic acid; 3-Phenyllactic acid; DL-3-Phenyllactic acid; beta-Phenyllactic acid; DL-alpha-Hydroxycinnamic acid,Single,Microbial metabolite identified in gut (table 1 from Donia 2015).,828-01-3,3848,25998,FDB022236,HMDB0000779,OC(CC1=CC=CC=C1)C(O)=O,C9H10O3,"InChI=1S/C9H10O3/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8,10H,6H2,(H,11,12)",VOXXWSYKYCBWHO-UHFFFAOYSA-N,166.1739,166.062994186,8,2,1,0,4
1915,Phenethylamine,Phenethylamines,Phenylethylamine; 2-Phenylethylamine; 2-Phenylethanamine; Benzeneethanamine; beta-Aminoethylbenzene,Single,Microbial metabolite identified in gut (table 1 from Donia 2015). Neurotransmitter.,64-04-0,1001,18397,FDB010580,HMDB0012275,NCCC1=CC=CC=C1,C8H11N,"InChI=1S/C8H11N/c9-7-6-8-4-2-1-3-5-8/h1-5H,6-7,9H2",BHHGXPLMPWCGHP-UHFFFAOYSA-N,121.1796,121.089149357,6,2,0,1,2
1916,delta-Aminovaleric acid,Delta amino acids and derivatives,delta-Aminovalerate; 5-Aminovaleric acid; 5-Aminopentanoic acid,Single,"Microbial metabolite identified in gut (table 1 from Donia 2015). Derives from arginine, proline and ornithine.",660-88-8,138,15887,FDB023151,HMDB0003355,NCCCCC(O)=O,C5H11NO2,"InChI=1S/C5H11NO2/c6-4-2-1-3-5(7)8/h1-4,6H2,(H,7,8)",JJMDCOVWQOJGCB-UHFFFAOYSA-N,117.1463,117.078978601,4,3,1,2,1
1917,gamma-Aminobutyric acid,Gamma amino acids and derivatives,GABA; 4-Aminobutyric acid; 4-Aminobutanoic acid; Piperidic acid,Single,Microbial metabolite identified in gut (table 1 from Donia 2015). Decarboxylation product of glutamate. A neurotransmitter. Produced and consumed by various species of gut bacteria.,56-12-2,119,16865,FDB030489,HMDB0000112,NCCCC(O)=O,C4H9NO2,"InChI=1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3,5H2,(H,6,7)",BTCSSZJGUNDROE-UHFFFAOYSA-N,103.1198,103.063328537,3,3,1,1,1
